pokemon,usage,raw_usage,real_usage,total_battles
Kartana,0.1043381,313440.0,0.22417025038209212,1398223.0
Vileplume,0.002132,6519.0,0.00466234642113597,1398223.0
Clefairy,0.0002639,847.0,0.0006057688938030629,1398223.0
Magneton,0.0008693,2643.0,0.00189025641832526,1398223.0
Slowking-Galar,0.0620423,185192.0,0.13244811449961844,1398223.0
Azelf,0.0083109,24795.0,0.017733222812097927,1398223.0
Skarmory,0.0451784,134966.0,0.09652680580994591,1398223.0
Archeops,0.002614,8461.0,0.006051252196538034,1398223.0
Bronzong,0.0033897,10176.0,0.00727780904762688,1398223.0
Barraskewda,0.0310501,93948.0,0.06719099886069675,1398223.0
Cottonee,0.0002972,1033.0,0.0007387948846500165,1398223.0
Dragonair,0.0002585,824.0,0.000589319443321988,1398223.0
Diggersby,0.0060423,18047.0,0.012907097079650385,1398223.0
Articuno-Galar,0.0030335,9200.0,0.006579780192429963,1398223.0
Garchomp,0.1615257,482389.0,0.3450014768745758,1398223.0
Pincurchin,0.0024892,7633.0,0.005459071979219338,1398223.0
Appletun,0.001847,5676.0,0.004059438301329616,1398223.0
Kommo-o,0.019405,58667.0,0.041958257016227025,1398223.0
Scrafty,0.0027496,8425.0,0.0060255052305676566,1398223.0
Lilligant,0.0006984,2161.0,0.0015455331517218642,1398223.0
Latias,0.0141837,42502.0,0.030397154102028073,1398223.0
Magmar,0.0002274,702.0,0.0005020658364223732,1398223.0
Indeedee,0.0033832,10555.0,0.007548867383815028,1398223.0
Lucario,0.0109864,34421.0,0.024617675435177365,1398223.0
Cinccino,0.0036135,11158.0,0.00798012906381886,1398223.0
Scolipede,0.0058918,17896.0,0.012799102861274633,1398223.0
Pyukumuku,0.0038009,11803.0,0.008441428870788137,1398223.0
Victini,0.0326389,96827.0,0.06925004094482783,1398223.0
Moltres-Galar,0.0097828,29234.0,0.020907966754945384,1398223.0
Ludicolo,0.0033482,10366.0,0.007413695812470543,1398223.0
Cloyster,0.0349579,105333.0,0.07533347684882884,1398223.0
Obstagoon,0.0099001,30292.0,0.02166464147707483,1398223.0
Salamence,0.0174732,53019.0,0.03791884413287437,1398223.0
Arctozolt,0.0094366,28177.0,0.020152007226315116,1398223.0
Falinks,0.00111,3465.0,0.0024781454746488937,1398223.0
Haxorus,0.0093065,28134.0,0.020121253905850497,1398223.0
Garbodor,0.0006823,2206.0,0.0015777168591848368,1398223.0
Marowak,0.000707,2218.0,0.0015862991811749628,1398223.0
Glaceon,0.0018348,5749.0,0.00411164742676955,1398223.0
Melmetal,0.0675429,202434.0,0.1447794808124312,1398223.0
Rotom-Heat,0.0190277,57778.0,0.04132244999545852,1398223.0
