pokemon,usage,raw_usage,real_usage,total_battles
Combusken,0.0001076,334.0,0.00023887462872517474,1398223.0
Aromatisse,0.0003858,1184.0,0.0008467891030257691,1398223.0
Polteageist,0.0105441,31640.0,0.022628722313965656,1398223.0
Cradily,0.0030038,9302.0,0.006652729929346035,1398223.0
Kingler,0.0012105,3753.0,0.0026841212024119186,1398223.0
Lunatone,0.0002278,715.0,0.0005113633519116765,1398223.0
Roserade,0.0055588,17095.0,0.012226232868433719,1398223.0
Rapidash,0.0005439,1798.0,0.0012859179115205514,1398223.0
Lairon,0.0001244,385.0,0.0002753494971832104,1398223.0
Electivire,0.0029834,9263.0,0.006624837382878125,1398223.0
Suicune,0.0073837,22145.0,0.015837960039278426,1398223.0
Seadra,0.0007513,2237.0,0.0015998878576593291,1398223.0
Zygarde-10%,0.0050997,15387.0,0.011004682371839113,1398223.0
Thundurus-Therian,0.0157017,47004.0,0.033616955235323695,1398223.0
Tyranitar,0.0777594,234562.0,0.1677572175539953,1398223.0
